Year,GDP,Deposits,Loans,CBDC Adoption,Inflation,Real Interest Rate,Money Demand
2022.12,17.9,121,224,0.7,1.8,2.2,671
2022.11,17.5,118.63,218.55,0.67,1.78,2.18,657.4
2022.10,17.1,116.26,213.1,0.64,1.76,2.16,643.8
2022.09,16.7,113.89,207.65,0.61,1.74,2.14,630.2
2022.08,16.3,111.52,202.2,0.58,1.72,2.12,616.6
2022.07,15.9,109.15,196.75,0.55,1.7,2.1,603
2022.06,15.5,106.78,191.3,0.52,1.68,2.08,589.4
2022.05,15.1,104.41,185.85,0.49,1.66,2.06,575.8
2022.04,14.7,102.04,180.4,0.46,1.64,2.04,562.2
2022.03,14.3,99.67,174.95,0.43,1.62,2.02,548.6
2022.02,13.9,97.3,169.5,0.4,1.6,2,535
2022.01,13.5,94.93,164.05,0.37,1.58,1.98,521.4
2021.12,16.64,103,203,0.6,1.5,2.1,647
2021.11,16.28,100.43,197.55,0.57,1.48,2.08,633.4
2021.10,15.92,97.86,192.1,0.54,1.46,2.06,619.8
2021.09,15.56,95.29,186.65,0.51,1.44,2.04,606.2
2021.08,15.2,92.72,181.2,0.48,1.42,2.02,592.6
2021.07,14.84,90.15,175.75,0.45,1.4,2,579
2021.06,14.48,87.58,170.3,0.42,1.38,1.98,565.4
2021.05,14.12,85.01,164.85,0.39,1.36,1.96,551.8
2021.04,13.76,82.44,159.4,0.36,1.34,1.94,538.2
2021.03,13.4,79.87,153.95,0.33,1.32,1.92,524.6
2021.02,13.04,77.3,148.5,0.3,1.3,1.9,511
2021.01,12.68,74.73,143.05,0.27,1.28,1.88,497.4
2020.12,14.72,93,185,0.55,0.2,-0.2,625
2020.11,14.48,91.33,181.95,0.52,0.18,-0.22,611.4
2020.10,14.24,89.66,178.9,0.49,0.16,-0.24,597.8
2020.09,14,87.99,175.85,0.46,0.14,-0.26,584.2
2020.08,13.76,86.32,172.8,0.43,0.12,-0.28,570.6
2020.07,13.52,84.65,169.75,0.4,0.1,-0.3,557
2020.06,13.28,82.98,166.7,0.37,0.08,-0.32,543.4
2020.05,13.04,81.31,163.65,0.34,0.06,-0.34,529.8
2020.04,12.8,79.64,160.6,0.31,0.04,-0.36,516.2
2020.03,12.56,77.97,157.55,0.28,0.02,-0.38,502.6
2020.02,12.32,76.3,154.5,0.25,0,-0.4,489
2020.01,12.08,74.63,151.45,0.22,-0.02,-0.42,475.4
2019.12,14.34,81,163,0.5,4.5,3.8,576
2019.11,14.11,79.17,159.15,0.48,4.3,3.78,564.2
2019.10,13.88,77.34,155.3,0.46,4.1,3.76,552.4
2019.09,13.65,75.51,151.45,0.44,3.9,3.74,540.6
2019.08,13.42,73.68,147.6,0.42,3.7,3.72,528.8
2019.07,13.19,71.85,143.75,0.4,3.5,3.7,517
2019.06,12.96,70.02,139.9,0.38,3.3,3.68,505.2
2019.05,12.73,68.19,136.05,0.36,3.1,3.66,493.4
2019.04,12.5,66.36,132.2,0.34,2.9,3.64,481.6
2019.03,12.27,64.53,128.35,0.32,2.7,3.62,469.8
2019.02,12.04,62.7,124.5,0.3,2.5,3.6,458
2019.01,11.81,60.87,120.65,0.28,2.3,3.58,446.2
2018.12,13.61,72,145,0.45,2.5,3.0,551
2018.11,13.39,70.17,141.15,0.43,2.3,2.98,539.2
2018.10,13.17,68.34,137.3,0.41,2.1,2.96,527.4
2018.09,12.95,66.51,133.45,0.39,1.9,2.94,515.6
2018.08,12.73,64.68,129.6,0.37,1.7,2.92,503.8
2018.07,12.51,62.85,125.75,0.35,1.5,2.9,492
2018.06,12.29,61.02,121.9,0.33,1.3,2.88,480.2
2018.05,12.07,59.19,118.05,0.31,1.1,2.86,468.4
2018.04,11.85,57.36,114.2,0.29,0.9,2.84,456.6
2018.03,11.63,55.53,110.35,0.27,0.7,2.82,444.8
2018.02,11.41,53.7,106.5,0.25,0.5,2.8,433
2018.01,11.19,51.87,102.65,0.23,0.3,2.78,421.2
2017.12,12.24,64,128,0.4,1.8,0.8,543
2017.11,12.03,62.4,124.8,0.38,1.6,0.78,531.2
2017.10,11.82,60.8,121.6,0.36,1.4,0.76,519.4
2017.09,11.61,59.2,118.4,0.34,1.2,0.74,507.6
2017.08,11.4,57.6,115.2,0.32,1.0,0.72,495.8
2017.07,11.19,56,112,0.3,0.8,0.7,484
2017.06,10.98,54.4,108.8,0.28,0.6,0.68,472.2
2017.05,10.77,52.8,105.6,0.26,0.4,0.66,460.4
